"Value not in dropDown list. Allowed values are: Array,Array,Array","Airline (airline)",AASGN,1
"ID already exists in this table",ID,101a6050-5170-1277-eede-57c3ad4d1cd2,1
"Value not in dropDown list. Allowed values are: Array,Array,Array","Airline (airline)",AASGN,2
"ID already exists in this table",ID,10ac3507-6c96-cb46-f99e-5762643531d5,2
"Value not in dropDown list. Allowed values are: Array,Array,Array","Airline (airline)",AASGN,3
"ID already exists in this table",ID,10c1bc4d-589d-0dae-d084-59414ca7e235,3
"Value not in dropDown list. Allowed values are: Array,Array,Array","Airline (airline)",AASGN,4
"ID already exists in this table",ID,10e7185b-087f-486a-687b-5934f2172a1d,4
"Value not in dropDown list. Allowed values are: Array,Array,Array","Airline (airline)",AASGN,5
"ID already exists in this table",ID,10e98b3a-d6e4-6bdb-8b63-578fabbd9f7f,5
